"district","neighborhood","year","hea_fac_health","hea_fac_welfare","hea_good","hea_impairment","hea_psych","hea_control","hea_smoke","hea_overweight","hea_lonely"
"A Centrum","Alexanderplein e.o.",2015,9,2,86,9,6,7,31,36,10
"A Centrum","Alexanderplein e.o.",2016,5,0,84,7,5,6,29,33,9
"A Centrum","Alexanderplein e.o.",2017,0,0,81,5,4,5,27,30,7
"A Centrum","Alexanderplein e.o.",2018,4,0,83,6,5,6,28,32,9
"A Centrum","Alexanderplein e.o.",2019,3,0,83,6,4,5,28,32,8
"A Centrum","Alexanderplein e.o.",2020,5,0,84,7,5,6,29,33,9
"A Centrum","Amstelveldbuurt",2015,28,2,82,7,5,6,27,30,9
"A Centrum","Amstelveldbuurt",2016,29,2,83,8,5,6,27,31,9
"A Centrum","Amstelveldbuurt",2017,22,0,79,4,3,4,24,26,7
"A Centrum","Amstelveldbuurt",2018,25,0,81,6,4,5,25,28,8
"A Centrum","Amstelveldbuurt",2019,30,2,83,8,5,6,27,31,9
"A Centrum","Amstelveldbuurt",2020,26,1,81,7,4,5,26,29,8
"A Centrum","Anjeliersbuurt Noord",2015,34,8,81,13,7,9,32,38,12
"A Centrum","Anjeliersbuurt Noord",2016,30,6,79,11,6,8,30,35,11
"A Centrum","Anjeliersbuurt Noord",2017,26,4,77,9,5,7,28,33,10
"A Centrum","Anjeliersbuurt Noord",2018,27,5,77,10,5,7,29,33,10
"A Centrum","Anjeliersbuurt Noord",2019,31,6,80,11,6,8,30,36,11
"A Centrum","Anjeliersbuurt Noord",2020,30,6,79,11,6,8,30,35,11
"A Centrum","Anjeliersbuurt Zuid",2015,25,7,78,15,8,10,33,40,13
"A Centrum","Anjeliersbuurt Zuid",2016,21,5,76,13,7,9,31,37,12
"A Centrum","Anjeliersbuurt Zuid",2017,16,2,73,10,6,7,29,33,10
"A Centrum","Anjeliersbuurt Zuid",2018,26,7,79,15,8,10,33,40,14
"A Centrum","Anjeliersbuurt Zuid",2019,20,5,75,13,7,9,31,36,12
"A Centrum","Anjeliersbuurt Zuid",2020,18,3,74,11,6,8,30,35,11
"A Centrum","Begijnhofbuurt",2015,4,3,80,12,8,8,34,33,13
"A Centrum","Begijnhofbuurt",2016,3,2,79,11,8,8,33,32,13
"A Centrum","Begijnhofbuurt",2017,0,1,77,9,7,7,32,30,12
"A Centrum","Begijnhofbuurt",2018,4,3,80,12,8,8,34,33,13
"A Centrum","Begijnhofbuurt",2019,0,0,76,9,7,7,31,29,11
"A Centrum","Begijnhofbuurt",2020,4,2,79,11,8,8,33,32,13
"A Centrum","BG-terrein e.o.",2015,3,4,78,7,6,6,30,30,9
"A Centrum","BG-terrein e.o.",2016,8,6,81,9,7,7,32,33,11
"A Centrum","BG-terrein e.o.",2017,10,7,82,10,8,8,33,35,12
"A Centrum","BG-terrein e.o.",2018,9,6,81,9,7,7,32,34,11
"A Centrum","BG-terrein e.o.",2019,10,7,82,10,8,8,33,35,12
"A Centrum","BG-terrein e.o.",2020,2,3,77,6,5,5,29,29,9
"A Centrum","Bloemgrachtbuurt",2015,21,0,78,9,5,7,29,32,10
"A Centrum","Bloemgrachtbuurt",2016,24,1,80,11,6,8,30,34,11
"A Centrum","Bloemgrachtbuurt",2017,21,0,78,10,5,7,29,32,10
"A Centrum","Bloemgrachtbuurt",2018,24,1,80,11,6,8,30,34,11
"A Centrum","Bloemgrachtbuurt",2019,21,0,78,10,5,7,29,32,10
"A Centrum","Bloemgrachtbuurt",2020,23,1,79,10,6,8,30,33,11
"A Centrum","Burgwallen Oost",2015,14,7,81,9,7,7,34,31,13
"A Centrum","Burgwallen Oost",2016,15,7,82,9,7,7,34,32,13
"A Centrum","Burgwallen Oost",2017,10,5,79,7,6,6,32,29,11
"A Centrum","Burgwallen Oost",2018,12,6,80,8,6,6,33,30,12
"A Centrum","Burgwallen Oost",2019,11,5,80,7,6,6,32,29,12
"A Centrum","Burgwallen Oost",2020,16,8,83,10,7,7,35,33,13
"A Centrum","Czaar Peterbuurt",2015,20,8,75,15,9,11,32,38,13
