"district","neighborhood","year","hou_total","hou_wheel","hou_boat","hou_sheltered","hou_protected","hou_corporation","hou_owner","hou_rented","hou_40","hou_40_60","hou_60_80","hou_80_100","hou_100","hou_occupants","hou_mar_wo","hou_mar_w","hou_unm_wo","hou_unm_w","hou_sin_wo","hou_sin_w","hou_other","hou_value","hou_value_m2","hou_satisfaction","hou_condition","hou_maintenance","hou_neighborhood","hou_development","hou_homefeel"
"A Centrum","Amstelveldbuurt",2015,915,0,45,1,0,81,399,435,116,184,180,129,306,1.66,97,70,109,29,560,34,16,498200,4413,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Amstelveldbuurt",2016,953,0,45,3,0,111,407,435,140,192,188,136,297,1.66,109,82,118,36,545,45,18,621448,5448,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Amstelveldbuurt",2017,932,0,45,1,0,81,432,419,118,183,182,135,314,1.6,106,76,114,27,561,36,12,647660,6049,"4.very high","4.very good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Amstelveldbuurt",2018,894,0,44,0,0,47,381,466,88,172,168,124,342,1.59,102,75,112,19,549,28,9,690836,6365,"4.very high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Amstelveldbuurt",2019,931,0,45,1,0,82,354,495,114,183,176,128,330,1.62,111,87,119,34,529,39,12,826419,7284,"4.very high","4.very good","4.very good","3.high","2.low","3.high"
"A Centrum","Amstelveldbuurt",2020,950,0,45,2,0,79,403,468,112,191,191,138,318,1.64,111,83,120,37,544,37,18,815113,7655,"4.very high","4.very good","4.very good","4.very high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Noord",2015,1339,0,18,0,0,435,390,514,196,584,263,106,190,1.61,111,88,154,68,822,86,10,315274,4393,"3.high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Anjeliersbuurt Noord",2016,1378,0,19,4,1,472,423,483,224,595,276,117,166,1.65,118,105,157,79,814,92,13,365731,5209,"3.high","3.good","4.very good","4.very high","3.high","4.very high"
"A Centrum","Anjeliersbuurt Noord",2017,1336,0,19,0,0,429,432,475,191,581,261,107,196,1.61,112,88,140,62,831,87,16,385750,5593,"3.high","2.bad","4.very good","4.very high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Noord",2018,1307,0,18,0,0,398,392,517,165,571,251,103,217,1.57,108,81,148,54,822,81,13,429078,6086,"3.high","2.bad","3.good","3.high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Noord",2019,1329,0,19,0,0,422,392,515,181,576,258,112,202,1.58,109,90,164,65,806,79,16,480146,6880,"3.high","2.bad","3.good","3.high","2.low","3.high"
"A Centrum","Anjeliersbuurt Noord",2020,1315,0,18,0,0,390,394,531,157,574,256,106,222,1.57,110,82,151,55,836,68,13,529937,7218,"3.high","2.bad","3.good","3.high","2.low","3.high"
"A Centrum","Anjeliersbuurt Zuid",2015,1991,0,11,0,2,1001,505,485,393,714,551,190,143,1.47,142,105,184,66,1328,146,20,282555,4379,"3.high","3.good","3.good","4.very high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2016,2008,0,12,3,2,1003,532,473,391,720,567,198,132,1.53,152,114,227,95,1269,133,18,324075,5113,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2017,1960,0,11,0,2,956,545,459,349,710,553,189,159,1.5,141,95,219,69,1295,119,22,347941,5570,"3.high","3.good","3.good","3.high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2018,1969,0,11,0,2,955,514,500,352,707,555,191,164,1.48,139,99,219,60,1313,119,20,401987,6089,"3.high","3.good","3.good","3.high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2019,1964,0,11,0,2,938,498,528,339,699,560,193,173,1.49,155,93,237,74,1276,108,21,434577,6690,"4.very high","3.good","3.good","4.very high","2.low","4.very high"
"A Centrum","Anjeliersbuurt Zuid",2020,1960,0,11,0,2,933,509,518,333,704,553,190,180,1.46,140,100,220,60,1300,120,20,494547,7165,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2015,386,0,1,4,1,69,49,268,149,102,75,48,12,1.29,15,11,70,7,272,7,4,240330,4913,"4.very high","3.good","4.very good","3.high","2.low","4.very high"
"A Centrum","Begijnhofbuurt",2016,321,0,0,0,0,8,21,292,100,80,52,34,55,1.22,7,7,60,0,242,3,2,258218,5258,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2017,380,0,1,3,0,50,45,285,132,100,75,48,25,1.28,14,11,72,7,265,7,4,334942,6003,"3.high","3.good","4.very good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2018,302,0,0,0,0,0,12,290,75,74,47,31,75,1.19,6,3,57,0,232,0,4,346312,6304,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2019,342,0,0,0,0,4,28,310,95,87,63,41,56,1.23,10,7,66,1,251,4,3,414317,6990,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","Begijnhofbuurt",2020,365,0,0,2,0,16,37,312,104,95,73,47,46,1.25,11,11,70,4,260,7,2,474238,7621,"3.high","3.good","3.good","3.high","2.low","3.high"
"A Centrum","BG-terrein e.o.",2015,381,0,0,0,0,186,67,128,57,115,68,41,100,1.56,24,20,59,8,247,16,7,325158,3993,"3.high","3.good","3.good","2.low","2.low","4.very high"
"A Centrum","BG-terrein e.o.",2016,443,0,1,5,1,231,93,119,92,136,92,56,67,1.61,29,25,71,17,267,25,9,403687,4750,"4.very high","3.good","3.good","2.low","2.low","4.very high"
"A Centrum","BG-terrein e.o.",2017,404,0,0,2,0,191,75,138,60,123,79,48,94,1.57,28,20,65,8,255,20,8,433754,5177,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","BG-terrein e.o.",2018,366,0,0,0,0,152,59,155,28,110,66,40,122,1.53,23,15,61,4,240,15,8,464256,5607,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","BG-terrein e.o.",2019,399,0,0,1,0,173,72,154,44,121,79,48,107,1.56,26,21,66,9,251,18,8,528933,6270,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","BG-terrein e.o.",2020,372,0,0,0,0,144,60,168,20,112,70,43,127,1.53,23,19,62,4,240,16,8,564903,6737,"3.high","3.good","3.good","2.low","1.very low","3.high"
"A Centrum","Bloemgrachtbuurt",2015,1909,0,10,2,0,439,608,862,279,658,474,180,318,1.56,132,110,258,66,1208,108,27,330551,4325,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Bloemgrachtbuurt",2016,1905,0,10,0,0,442,633,830,277,654,470,184,320,1.53,135,115,250,58,1212,115,20,353820,4811,"4.very high","3.good","3.good","4.very high","3.high","4.very high"
"A Centrum","Bloemgrachtbuurt",2017,1910,0,10,0,0,429,673,808,277,657,474,188,314,1.56,137,130,252,65,1189,116,21,400164,5494,"4.very high","3.good","3.good","3.high","2.low","4.very high"
"A Centrum","Bloemgrachtbuurt",2018,1882,0,9,0,0,408,622,852,248,646,463,179,346,1.5,139,99,258,40,1228,99,19,439720,5841,"4.very high","3.good","3.good","4.very high","2.low","4.very high"
