"district","neighborhood","year","inc_disposable","inc_q1","inc_q2","inc_q3","inc_q4","inc_q5","inc_theil","inc_gini","inc_social","inc_social_far","inc_disability","inc_unemployment","inc_debt","inc_notifications"
"A Centrum","Amstelveldbuurt",2015,76494,24,18,17,12,29,0.94,0.59,33,19,26,41,14,6
"A Centrum","Amstelveldbuurt",2016,77914,22,18,17,12,31,0.81,0.56,16,9,18,28,0,0
"A Centrum","Amstelveldbuurt",2017,80000,22,18,17,12,31,0.88,0.58,27,22,20,30,1,6
"A Centrum","Amstelveldbuurt",2018,81707,21,18,17,12,32,0.84,0.57,22,22,16,23,0,4
"A Centrum","Amstelveldbuurt",2019,83530,20,18,17,12,33,0.83,0.57,22,22,14,19,0,7
"A Centrum","Amstelveldbuurt",2020,85377,19,18,17,12,34,0.83,0.57,23,23,13,16,0,10
"A Centrum","Anjeliersbuurt Noord",2015,41300,31,20,14,13,22,0.33,0.4,61,54,70,50,11,17
"A Centrum","Anjeliersbuurt Noord",2016,43000,31,18,18,12,21,0.29,0.38,67,55,60,50,11,19
"A Centrum","Anjeliersbuurt Noord",2017,43500,31,18,18,13,20,0.29,0.38,70,62,60,50,17,16
"A Centrum","Anjeliersbuurt Noord",2018,46415,30,19,17,13,21,0.36,0.41,75,72,63,47,12,30
"A Centrum","Anjeliersbuurt Noord",2019,47996,28,18,17,13,24,0.29,0.38,66,66,57,38,0,24
"A Centrum","Anjeliersbuurt Noord",2020,49930,28,19,17,13,23,0.33,0.4,71,71,57,36,1,31
"A Centrum","Anjeliersbuurt Zuid",2015,33600,37,18,18,12,15,0.21,0.34,114,95,150,90,31,26
"A Centrum","Anjeliersbuurt Zuid",2016,35800,38,18,17,12,15,0.19,0.33,121,100,140,70,30,25
"A Centrum","Anjeliersbuurt Zuid",2017,35900,38,19,17,12,14,0.23,0.35,126,106,140,60,29,38
"A Centrum","Anjeliersbuurt Zuid",2018,38819,36,18,18,12,16,0.24,0.35,126,112,141,68,26,39
"A Centrum","Anjeliersbuurt Zuid",2019,40506,35,18,18,12,17,0.2,0.34,121,112,138,61,18,37
