"district","neighborhood","year","soc_fac_cultural","soc_fac_sports","soc_avail_sports","soc_primary","soc_avail_primary","soc_special","soc_cito","soc_vocational","soc_higherprof","soc_uni","soc_interaction","soc_involvement"
"A Centrum","Anjeliersbuurt Noord",2015,29,1,"2.high",0,"2.high",0,"4.higher",110,45,115,"3.pleasant","3.high"
"A Centrum","Anjeliersbuurt Noord",2016,31,2,"2.high",0,"2.high",0,"4.higher",118,40,114,"3.pleasant","3.high"
"A Centrum","Anjeliersbuurt Noord",2017,33,2,"2.high",0,"2.high",0,"4.higher",127,37,114,"3.pleasant","3.high"
"A Centrum","Anjeliersbuurt Noord",2018,30,2,"2.high",0,"2.high",0,"3.mixed",110,13,65,"3.pleasant","3.high"
"A Centrum","Anjeliersbuurt Noord",2019,33,3,"2.high",0,"2.high",0,"3.mixed",123,20,77,"3.pleasant","3.high"
"A Centrum","Anjeliersbuurt Noord",2020,33,3,"1.low",0,"2.high",0,"3.mixed",124,15,65,"3.pleasant","3.high"
"A Centrum","Anjeliersbuurt Zuid",2015,45,0,"2.high",2,"2.high",0,"4.higher",100,70,100,"2.average","2.average"
"A Centrum","Anjeliersbuurt Zuid",2016,46,0,"2.high",2,"2.high",0,"4.higher",102,60,88,"2.average","2.average"
"A Centrum","Anjeliersbuurt Zuid",2017,46,0,"2.high",2,"2.high",0,"4.higher",98,44,61,"2.average","2.average"
"A Centrum","Anjeliersbuurt Zuid",2018,48,1,"2.high",2,"2.high",0,"4.higher",109,47,68,"2.average","2.average"
"A Centrum","Anjeliersbuurt Zuid",2019,49,2,"1.low",2,"2.high",0,"4.higher",116,48,68,"2.average","2.average"
"A Centrum","Anjeliersbuurt Zuid",2020,49,2,"1.low",2,"2.high",0,"4.higher",117,43,55,"2.average","2.average"
"A Centrum","Bloemgrachtbuurt",2015,30,1,"2.high",0,"2.high",0,"4.higher",185,75,150,"3.pleasant","3.high"
"A Centrum","Bloemgrachtbuurt",2016,32,1,"2.high",0,"2.high",0,"4.higher",177,64,135,"3.pleasant","3.high"
"A Centrum","Bloemgrachtbuurt",2017,32,2,"2.high",0,"2.high",0,"4.higher",177,52,117,"3.pleasant","3.high"
"A Centrum","Bloemgrachtbuurt",2018,34,2,"2.high",0,"2.high",0,"4.higher",186,52,119,"3.pleasant","3.high"
"A Centrum","Bloemgrachtbuurt",2019,33,2,"1.low",0,"2.high",0,"4.higher",184,44,100,"3.pleasant","2.average"
